question,out-of-scope,question_note,human_answer,invalid_human_answer,answer_note
I'm having trouble creating a missing receipt declaration for a lodging expense because receipts are required for all lodging expenses. What should I do?,in-scope,,"The reason Ianick cannot create a missing receipt declaration for the accommodation expense is that receipts are required for all lodging expenses. 
My recommendation is to upload the receipt that you do have, plus an explanation for the situation. AP will review the expense report and return it if necessary.",Valid,
I want to know more about supplemental insurance for my Hertz car rental through WTI.,in-scope,,Purchase of supplen=mental insurance is not required when rentingg a car from Hertz,Valid,
"I'm trying to submit an expense report for Bucksport Inn, but it doesn't show the hotel as a vendor. Is it true that I need to submit a service now ticket for resolution?",in-scope,,"Able to add ""other"" as vendor name and include the name on the comments box. Thank you",Valid,
"I’m trying to request reimbursement for some expenses from 2023, but my name is not in Concur and it's hindering my reimbursement process. Can someone guide me on how to fix this?",asking for individual status,,"Nikita
You do have active ARC status and reimbursement can be processed through concur. The department processor has to select ""Student"" as the vendor type
Thanks",External Individual’s Record,
I was advised that using Concur for Canadian outside party reimbursements is not possible because it needs to be done via Wire. Can someone confirm if I can only reimburse food and travel this way?,in-scope,,Expense can not be processed througgh concur if venor has wire payment location,Valid,
What should I say regarding the alcohol question on the receipt sent by the payee when he did not drink alcohol?,in-scope,,"Advised to say ""no"" to the alcohol question because we are not reimbursing the payee for alcohol and he sent an email stating which items on the receipt are his.",External Individual’s Record,
"As a new employee, I seem to be having trouble accessing Concur. What can I do?",in-scope,,ND2839 should be able to login to Concur. If they are still experiencing issues with this please reopen the incident.,External Individual’s Record,
There are two entries for the same $143 train ticket under UNI: ajm2348. Can someone help me remove the duplicate expense from my profile?,asking for individual status,,"Hi Charlene,
Unfortunately WTI have not gotten anything concrete from Amtrak regarding the charge without traveler name. With that said, I have moved the charge out of Ashley's account. If she has no issues with the remaining $147 and the $35 fee, feel free to submit the report for processing.

Sorry for taking so long on the respond.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127 ",External Individual’s Record,
"I need help submitting expense reports on behalf of my lab members, but the option for 'Acting as other user' is missing from my delegate profile. What should I do?",in-scope,,"Hi Rachel,
if the Concur account of the person you are assigned as Delegate for is active, the option to submit reports on their behalf is not permitted. The ""Can Submit Report"" option only kick into affect after the individual leaves Columbia and their account is inactive.

Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",External Individual’s Record,
I'm inactive in Concur and my department needs to opt me in. What should I do?,asking for individual status,,"In order to opt-in a student non-employee to have access to Concur Travel and Expense or Expense only, a Service Now Incident is required from the department's DAF or SBO. The incident should contain the student's name, UNI, and Vendor Number and must indicate which Concur module is requested: 

Travel – access to book Air and/or Rail to be charged on the Columbia Air/Rail Central Pay. Hotel and car rentals can be reserved as well.
Expense – access to create and submit expense reports to reconcile travel and/or business expenses charged on the Columbia Air/Rail Central Pay or for reimbursement of out of pocket expenses. This includes access to the Concur Request module to request pre-trip approval.
Central Accounts Payable Process 
Upon receipt of the incident, Accounts Payable (AP) will verify the request was submitted by the department's DAF or SBO, verify the student's name, UNI, and vendor number matches the student non-employee profile in Accounting and Reporting at Columbia (ARC). AP will also verify the incident specifies which Concur module is being requested for access for the student non-employee.

AP will grant access to Concur and mark the incident as resolved, which sends an email to the DAF or SBO signifying that access to Concur will be provided within 24 hours for the student non-employee. 

AP will grant access to Concur and mark the incident as resolved which sends an email to the DAF or SBO signifying that access to Concur will be provided within 24 hours.

Students should refer to the Travel and Expense Portal Student sectoin for regarding Concur Travel and Expense.

https://travel-expense.finance.columbia.edu/content/getting-started",Valid,
What are the receipt requirements for submitting an expense report?,in-scope,,Receipt is not required if expense is below $50.00 only proof of payment,Valid,
Can you tell me if the expense report for mma2280 with an amount of $25.18 was paid?,asking for individual status,,"Here is a link to the reporting manager job aid: https://www.finance.columbia.edu/content/running-concur-reports-reporting-managers
The expense report for mma2280 was paid on 1/2/2024 via ach reference number 2001225668",External Individual’s Record,
"For UNI: mpr2, should this cancelled trip be added to an expense report with comments explaining the situation?",in-scope,,Should be added to an expense report with comments explaining the situation.,Valid,
"I have an expense for it2276, and the report key is 205759. What do I need to do?",asking for individual status,,Assisted with hotel itemization on Report Key :205759,Solved Offline,
Can you please advise me on the check date and number for supplier ID CNR0018145 regarding the total amount of $823.09? I cannot view the chartstring in ARC as it's in another department.,asking for individual status,,"Wanda,
Check 1002229793 payment dated 01/25/2024 for $823.09.  See attached ARC payment details.

Thanks,
Judy",External Individual’s Record,
I need to add attachments for the expense related to uni tjb2104. How can I do this?,asking for individual status,,"Steven
Have user follow the steps on below to add additiona documents to the expense report
https://travel-expense.finance.columbia.edu/news/how-do-i-append-additional-receipts-or-documentation-expense
Thanks",Solved Offline,
Can you give me more details regarding the Concur report UNI JF2949?,in-scope,,"Report returned.
User has other questions about viewing inactive users.",Solved Offline,
"I want to update my bank account for AP reimbursements. I believe this can be done in PAC, but do I need to do anything else to ensure the changes are reflected?",in-scope,,This is done in PAC. After changing the bank account under Direct Deposit (for payroll) click on AP Reimbursements to see if the bank account updated or this needs to be done separately.,Valid,
I'm submitting a ticket to find out potential funding sources for poster presentations at conferences. Do you happen to know of any CU or external sources that could help cover the conference fees?,in-scope,,"Yu-Hsuan ,
You can request a travel cash advance if your department allows. So please reach out to your Departments Administrator.
Here is instruction on how to submit a travel cahs advance request
https://travel-expense.finance.columbia.edu/news/what-are-pre-trip-requests-and-travel-cash-advances
Thanks",Indirect Answer,
"I'm having trouble entering the vendor name or lodging location for the hotel charges on report 'COP28 hotel meeting room Invoice $8,410.26' in Concur. The fields are greyed out. Can someone assist me with this? Thanks.",in-scope,,"Hi Christopher,
I would treat the expense as a Hotel/Lodge invoice and not Meetings and Event Fees, that way you can capture the rooms and then itemize the rest. 
Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",Valid,
"Good morning, I'm having trouble itemizing an Airbnb expense in Concur, which totals $985.84. The payee was awarded only $500.00. However, when I enter the non-reimbursable amount of $485.84, the itemized total increases to $1,471.69, which makes my report amount exceed the limit. I can't add any other itemizations. Can someone please assist with this? Thank you!",in-scope,,Provided information on itemizing hotel expense.,Valid,
Could I please get an update on the status of Expense Report Key 239449? It is currently awaiting review and approval from the SBO for A&S.,asking for individual status,,"Report is going through the approval process, currently awaiting the review and approval of the SBO for A&S.",Valid,
I'm unable to submit a non-profiled payee for Alexey Knyazev. Can someone help me with this?,in-scope,,"Alexey is listed as an employee and as such has access to Concur. In this case, you can't submit a non-profiled payee because he has his own profile and access. To submit the expenses, he'd either have to enter them in himself or assign you as a delegate in Concur. ",Valid,
I would like to change the payment method for travel booked through Concur. Should I call World Travel at 1-855-961-0313?,in-scope,,Please call World Travel to discuss changing the payment method: 1-855-961-0313,Valid,
I have an expense for uni it2276 hotel that is not listed in Concur. Can someone help with this?,in-scope,,"Select the option ""Other""   when hotel is not listed in concur",Valid,
I use a corporate card to book air and lodging. Do I need any specific guidance for using the card?,in-scope,,"Travel and Expense Corporate Card Policy
The Travel and Expense (T&E) Corporate Card is a credit card used by authorized University employees to enable certain types of payments while performing University business. It is a method to pay for travel and business related expenses and must adhere to the University's Travel and Business expense policies. All T&E Corporate Card charges are centrally paid by the University.

Concur Travel and Expense is the authorized system for all T&E Corporate Card activity substantiation, report submission, receipt retention, and approval.

This policy defines the circumstances under which an employee of the University may apply for and use the T&E Corporate Card. The card may not be used for personal purchases and expenses. An employee may only use the card while employed by the University; once the employee is separated from the University, the card will be cancelled.

The T&E Corporate Card may be used by employees for their travel and business expenses. Air or rail - must be booked via the University's Business Travel Account (BTA) also referred to as Air/Rail Central Pay Account on file with our Travel Management Company or booked with a personal credit card.

The T&E Corporate Card may not be used to charge air and rail expenses for any other employee or guest. Air and rail expenses for other employees or guests can only be booked by a designated departmental Travel Arranger, and must be booked through the University's Travel Management Company (TMC) or booked with a personal credit card.  

Since our Business Travel Account (BTA)/ Air/Rail Central Pay Account already covers air and rail, the Corporate card should only be used to charge air/rail expenses outside of our Travel Management Company in emergency situations. In such cases, the cardholder must provide a justification for using the T&E Corporate card for air or rail expenses.

Employees are not required to utilize the T&E Corporate Card. They have the option of using a personal credit card for University authorized travel and business related expenses and request reimbursement of those expenses.

Accounts Payable will review T&E Corporate Card statements and transactions for compliance with University policies and may terminate the card at any time for cause (i.e. violation of policy or failure to reconcile card transactions timely).

https://universitypolicies.columbia.edu/content/travel-and-expense-corporate-card-policy",Valid,
I'm looking to enter an expense report under the Expense tab in Concur for expenses that I've already incurred. What steps should I follow?,in-scope,,Enter an expense report under the Expense tab in Concur.,Repeating the Question,
Can someone clarify the workflow process in Concur? I'm trying to understand how it works.,in-scope,,We are unable to see who the concur approver is after the report has been approved by the financial approver.,Indirect Answer,
I have an unresolved corporate card issue. Can someone assist me with that?,in-scope,,"Dorlene
These expenses appear as available expense in your concur page and you need to reconcile them
Follow isntructions below on how to reconcile
https://travel-expense.finance.columbia.edu/news/how-do-i-reconcile-corporate-card-or-airrail-central-pay-transactions
Thanks",Valid,
I am inquiring about the payment status for the following: 10/06/2023 - $60.00 for Catherine Ly and 11/15/2023 - $98.32 for Catherine Ly. Could you provide an update?,asking for individual status,,User checked account and both payment were received.,Valid,
Can someone explain how the Concur ea146 workflow works?,asking for individual status,,"The Concur profile for ea146 is pending review of financial approver Joseph, Leyland. Please reach out to the approver for review",External Individual’s Record,
"I'm having trouble booking travel for a guest, even though I have a travel arranger role. Can someone help me with this?",in-scope,,"Please email me if your issues has not been resolved
Thank you
Kin",Solved Offline,
Can I use a different chartstring for the reconciliation expense report instead of the advance? I need to know how this works since the system credits back when I reconcile the advance.,in-scope,,"Can use a different chartstring on the reconciliation expense report and this is the chartstring where the expenses will post. They system will automatically credit back the chartstring used for the advance when the advance is reconciled.
Use the same chartstring for the expense line for ""Cash Advance Return"" that you use for the cash deposit for the unspent funds.",Valid,
I need to know what documentation is needed for reimbursing a cash payment for karaoke for 12 people done via Concur. Can you help me with that?,in-scope,,Shared CU policy on entertainment expenses. Any additional questions gives us a call or reopen ticket. Thank you,Indirect Answer,
I'm trying to get Concur access for the expense report of Jordon Sims under uni js5597. What do I need to do?,asking for individual status,,Jordon Sims  currently doesn't have active PAC Profile. Will have concur access once profile is activated in PAC,External Individual’s Record,
"I submitted my Concur expenses on 1/7/2024 for professional development, and I'm wondering how long I should wait for the approval and who is responsible for it. Thanks!",in-scope,,"Joanna,
This is waiting for approval by Enoe Garcia.
-John
",Valid,
How do I create an Outside Party vendor profile in ARC to submit a Non-Profiled Payee report in Concur for TC reimbursement?,in-scope,,Create an Outside Party vendor profile in ARC to submit a Non-Profiled Payee report in Concur.,Repeating the Question,
I received a report comment from Noemi Guerrero stating that my UNI VGN2001 - TCT 2023 expense report has been returned for additional information. What corrections do I need to make to resubmit?,in-scope,,Advised to contact auditor directly to question why this was returned and need to be calculated differently than other reports from the same dept.,Redirection,
I want to know about extending travel days for a guest. What is the process?,in-scope,,"Hello, 

We have not heard back from you for several days now and the Service Center has marked the incident as resolved. If you do not feel this issue was resolved, please re-open this incident for further assistance.

Thank You.
",Solved Offline,
Why is my Concur routing going to an incorrect supervisor?,in-scope,,Mkeba Cason must be opted-out as supervisor in order for you to have the option to select initial reviewer. Please see email response.,External Individual’s Record,
What should I do about the ep2464 concur expense that is over 365 days old?,in-scope,,"Sorry for my delayed response, we had calls coming in. The link to concur can be found here: https://travel-expense.finance.columbia.edu/
She can log in, click on the expense tab and she will see the returned expense report.",Solved Offline,
Can I get a notification about the outstanding credit card transactions?,in-scope,,"You are receiving these notifications for your purchase of a flight via Concur. Please log into Concur and add these to an expense report. You will need to complete the report header with the funding chartstring and also provide supporting documentation. You can find more information in this job aid: https://travel-expense.finance.columbia.edu/news/how-do-i-reconcile-corporate-card-or-airrail-central-pay-transactions
Let me know if you have any additional questions",Valid,
Why are credit and debit transactions posted at different times?,in-scope,,If expenses have  not posted as available expenses  and the same period of time  they have to be reconciled separately,Valid,
I noticed that ab4882's Concur profile is inactive. He has a domestic address and is marked as MTFC for Spring 2024. Can you advise me on this?,asking for individual status,,"Hi Maryann,
Anirbaan's account has been temporally extended.
Let me know if you need anything else. Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",External Individual’s Record,
"Can you help me with the expense reports for the keys 144794, 169940, 203291, and 144782?",asking for individual status,,Expenses paid match what is posted on the trial balance report,Valid,
Why is there an $80.10 credit from Amtrak for als2423?,asking for individual status,,"This was likely due to the change in destination. Please reach out to amtrack directly for more information. Here is the ticket number 3130946539022. 
Thanks. ",Valid,
"Can you check on the approval status for the Expense Report Colloq Spkr Hotel (Novotny) $906.00 that is pending Pacanovsky Nolan, Kim M.'s approval?",asking for individual status,,"Pending Pacanovsky Nolan, Kim M.'s approval. John to reach out to Kim.",Valid,
What is the status of the ep2464 concur report UR3FOZ?,asking for individual status,,The report for ep2464 in the amount of $1807.64 is still in her queue pending her response to your request for a justification.,Valid,
Can you provide me with the link and job aid for entering expenses in Concur for tjb2104?,in-scope,,"The Concur login can be found here: https://travel-expense.finance.columbia.edu/
Click the Blue button that says log into Concur and enter your UNI only (tjb2104) as the username and your uni password. 
Once you are in Concur, click on the expense tab, then create a new report. Here is a job aid complete with screenshots:
 https://travel-expense.finance.columbia.edu/sites/default/files/content/Finance%20Training/Job%20Aids/Job_Aid_Concur_Creating_Expense_Reports.pdf
If you need any further assistance, please do not hesitate to give us a call at 212-854-2122. ",Valid,
I keep getting a Concur delegate report for activities that are mostly in FY23. How can I update the frequency? It's the same report every week!,in-scope,,"Hi Sara,
Concur support indicated that the ""Delegate Approvals (weekly reporting manager)"" is a burst report.  which means, once criteria is met, it gets sent the report by email. I don't have access to change report delivery functionalities. 

Sorry Sara, not sure where to go from here.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",Indirect Answer,
I'm looking for information regarding Report Key: 232581.,asking for individual status,,"Report Key :232581
Resubmitted and pending intitial reviewer's approval 

Directed to mi2360 Maryann Ingoglio mi2360@columbia.edu +1 212 854 5731",Valid,
"I received an email regarding INC2540335 about rerouting an expense in Concur. Can you provide the new chartstring for Jennifer to update? After she updates the chartstring in her report, she can resubmit and choose Rachel Parker as her initial reviewer.",asking for individual status,,Rachel Parker to provide a different chartstring.,Redirection,
I need to submit an expense for uni mbr2113.,in-scope,,Delegate set up was not completed. Each box for which the payee needs to delegate the processor has to be checked,Valid,
"When processing or approving reports in Expense, one of my favorite quick checks was to use the Allocation Summary function under Report Details. I've noticed it doesn't seem to be working for me anymore, at least for the past few days. I usually use a MacBook Pro with Google Chrome as the browser. Has anyone else noticed that this functionality disappeared?",in-scope,,"Hi Yasmin, 
Concur confirmed that the Allocation Summary function has been fixed. Please let me know if you continue to have issue.
-Kin",Valid,
I can't add ep2993 as a delegate.,asking for individual status,,EP2993 does not currently have Concur access so she can't be added as a delegate. Please submit an FSSA.,Valid,
I need to insert an approver for Report Key: 237085.,asking for individual status,,Initial reviewer or financial approver can insert other approvers once the report is submitted,Valid,
"Mary Fiore reached out for assistance regarding her reimbursement, but I'm not sure how I can help. Can you let me know who the approver is and how we can move this Concur report forward? She also mentioned that she asked for a cash advance, which is not correct.",asking for individual status,,"Alleen
There is a cash advance request , Request ID: 4ML7 which was not submitted. One of the alerts says that Start Date is in the past. Please provide a justification for why this request was not completed prior to the start date
If she has already completed the travel she should then cancel this request and submit expense reimbursment request instead
Thanks",Indirect Answer,
"Elizabeth Adetiba's Concur report number O9PGSD was returned to the preparer yg2979, but his access was lost when he transitioned from temp to employee. His Concur access has been restored, but he's currently on vacation until 2/6/2024. Can someone else in the department make the necessary connections to resubmit? If not, can this report be canceled so someone else can resubmit, so the student can be paid ASAP?",asking for individual status,,"Hi Veronica,
Report O9PGSD can only be submitted by preparer yg297. Feel free to have some else create another report for Elizabeth Adetiba. Please note, an UN-submitted report in one person's account have no bearing on another report in some else's account. Preparer yg297 can delete report O9PGSD when he/she comes back from vacation.
Let me know if you have other questions. Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",Valid,
"Good morning, Tazeen Siddiqui-Pittman (ts3477) is on maternity leave as of 12/31/23, and there are a few items in her Concur workflow that haven't been approved. I would like to add a back-up person so that things do not get stuck. Can you please add Helen Kim (hk2580) as an approver in the system linked to Tazeen? Or do I need to do it from my end?",capability limitation,,request has been processed,Valid,
"I have a corporate card transaction that includes multiple group meals for 25 people: breakfast, lunch, and a snack. I understand that Paulette will categorize it as entertainment and itemize it for each meal. Is there anything else I need to do?",in-scope,,Paulette will put the expense type for the transaction as entertainment and will then itemize it for each group meal.,Repeating the Question,
Can you help me reroute my Concur expense for printing posters for CUSON Scholar's Day to the School of Nursing instead of my assigned Department of DBMI? I’ve attached a document for more context.,in-scope,,Per incident INC2540762 Rachel Parker to provide a different chartstring for the report.,Redirection,
"I'm trying to submit my Concur expense report for reimbursement, but I'm getting a message that the hotel rate I booked exceeds the maximum daily amount. I’ve already provided itemization and explanation, but still no progress. It's been 2 months since my travel and I haven't been reimbursed yet. Can you advise me on how to proceed?",in-scope,,"job aid for  itemization of lodging  is attached
Thanks",Solved Offline,
I need to update the address for AP payments. What do I need to do?,in-scope,,"For employees the address needs to be update via PAC as discussed on the phone. Please allow 24-48 hours for this to be update. Before requesting that the check be reissued, the processor should verify that the address has been updated in Concur. ",Valid,
I’m having trouble with Concur; the allocation summary isn't working and it doesn’t show allocations for individual expenses on a TBER. How can I fix this?,in-scope,,"Hi Lisa, 
Concur confirmed that the Allocation Summary function has been fixed. Please let me know if you continue to have issue.
-Kin",Valid,
I need assistance understanding the Concur settings. Can someone help with that?,in-scope,,Payment information is based on what has been entered in PAC whether is payment via direct deposit or check.,Valid,
I want to reconcile an advance that hasn’t been spent. What steps should I take?,in-scope,,"https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Reconciling_Requests.pdf

https://www.finance.columbia.edu/content/return-funds-university",Solved Offline,
"I’m checking on the cash advance for student av2906. LaToya will see if the student has already paid for the expenses, and if not, she’ll ask DAF Josh Sakolsky to submit an incident to get the student 'opted-in' to Concur. Is that the right process?",in-scope,,"
LaToya will check if the student if she already paid for the expenses. If she did not and still needs an advance, LaToya will ask DAF Josh Sakolsky to submit an incident to have the student ""opted-in"" to Concur.",Valid,
I need to remove a per diem from my expense report. Can someone guide me through how to delete the itinerary under Travel Allowance > Manage Travel Allowance?,in-scope,,Delete the itinerary under Travel Allowance>Manage Travel Allowance.,Valid,
I’m requesting a cash advance. What do I need to do?,in-scope,,Department will need to submit cash advancement under student's profile.,Valid,
I received an error stating that vendor 0000106137 is not found in Concur. Can you help me with this?,in-scope,,Omar Martinez (vendor ID 0000106137) is classified as a supplier and as such his vendor ID can't be used in Concur. Please submit his reimbursement via check request in ARC.,Valid,
"Can you please advise me on how to correct the supervisor on a Concur profile for one of our employees? The department, school, and sub-division information are correct.",in-scope,,Submit PAF  to make corrections on PAC profile,Valid,
Is there a report I can generate from the Concur data that details how long the approval process was for each approver on a specific report?,in-scope,,"Hi Karen,
There's a workflow report that details each step of the approval process. 
TEAM CONTENT > THE TRUSTEES OF COLUMBIA UNIVERSITY > WORKFLOW > WORKFLOW HISTORY

Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",Valid,
"Hello, I wonder if undergrad students have a Concur vendor ID. I need to process Mabel Penaherrera's reimbursement (UNI: amp2345). Should I invite the student to the onboarding PaymentWorks system? Thank you.",in-scope,,"Chien
Studens reimbursement is processed through concur by selecting
Expense report type = CU Non-Profiled Payee
Vendor type = student",Valid,
"I see that UNI KY218 available expenses are now ready to reconcile, but I previously entered these expenses as personal items in an existing report. What should I do?",in-scope,,"Recall the report and delete personal expense line for $326.80 and add available expenses for $326.80 in the report charged to Corporate Card.


",Valid,
"Can we request a cash advance for students who do not have access to Concur? If so, what is the process I need to follow?",in-scope,,The DAF in your department will be the person to provide access to the student in order to request cash advance. Any additional questions reopen ticket or give us a call. Thank you,Valid,
Is there a specific expense report I need to fill out for an AirBnB stay?,in-scope,,If available hotels were all booked and the only option was AirBnB please provide justification when submitting the expense report,Valid,
How do I process an expense on behalf of other staff members? Can you guide me through this?,in-scope,,Expense on behlaf of other staff can be processed as a delegate,Valid,
I received a notification that UNI ALS2423 was returned because additional receipts are needed. What should I do to resolve this?,in-scope,,Reviewed report with user and all good ready to be submitted.,Solved Offline,
I need help with expense itemization for report key 237721. What steps should I take?,in-scope,,Meal threshold for dinner is $75/person. Pleasechange expense type to Group meal Dinner,Valid,
Am I eligible for a parking reimbursement when I used my own car to travel?,in-scope,,Submit report with receipts and enter comments/justification.,Valid,
"Hi, I'm trying to submit a travel expense report in Concur with REPORT#: 241136 for Kiros Berhane, but I'm getting an error message saying I can't submit the report before the end of the trip, which was on December 30th, 2023. Can you please advise? Thank you!",asking for individual status,,"Hi Luminita,
Please have Kiros try to submit the report, sometime the active refreshes the data and can move the report forward. In the meantime, i've created a case with Concur to address the issue and will update you once i hear back from them.
Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",Solved Offline,
"Can you please clarify why Jessica Fertinel, the Administrative Manager from the Office of the Provost, appears as an Initial Reviewer option in Concur for our department (LIB, 22xxxxx) when she shouldn't be linked to us?",asking for individual status,,"Please see email with departments that Jessica is list as Initial Reviewer. To removal role, FSSA must be submitted by the department. ",Solved Offline,
What steps should I take to cancel a Pre-Trip and Advance for UNI CAW35?,in-scope,,"Here is the link to the Job Aid and go to page 6 for the steps to cancel.

https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Submitting_Requests.pdf",Solved Offline,
My Concur receipts are not showing up. What should I do?,in-scope,,Caller was able to add receipts and submit.,Solved Offline,
What is the Report Key for Report Key 239449?,asking for individual status,,"Report Key   239449
Pending SBO approval",Repeating the Question,
"I have an expense report for als2423 with a receipt for a train charge. There's an amount on the receipt that equals the train charge minus the credit. Tiffany will upload it as the receipt, can you confirm if this is correct?",asking for individual status,,There is an amount on the receipt that adds up to the train charge minus the credit so Tiffany will upload that as the receipt.,Repeating the Question,
I have a Columbia affiliate who needs to access Concur to act as a delegate. They own a Columbia email and UNI. What should I select on the FSSA application to ensure 'Concur Travel Arranger' will allow them to prepare expense reports and arrange travel? Thank you!,in-scope,,Concur Temporary Access will give the affiliate access to act as a delegate to prepare expense reports and book travel.,Valid,
"Please advise on how to proceed with the pending reports that are being routed for approval to KK2224, who is no longer with the department.",asking for individual status,,"Kathryn no long has roles in the system. Please recall the report and re-submit for re-routing.  Thank you.
KIn",Valid,
How do I create an expense report in Concur?,in-scope,,"Here is the Concur Expense Report job aid: https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Creating_Expense_Reports.pdf
Thanks.",Solved Offline,
"What is the payment status for the uni jv2851, specifically for Report Key: 205642 and Report Key: 205646?",asking for individual status,,"Pay reference  #  2001188727
Pay date  09/15/23",Valid,
I need to generate a report of all Travel Advances issued from 7/1/23 to the present.,capability limitation,,Provided path to Request Details report.,Solved Offline,
Can I get the approval status for the expense related to uni bf2187 with Report Key: 237611?,asking for individual status,,"Report Key :237611
Pending Financial Approval :Faedda, Barbara",Valid,
"For UNI EAH41, how do I assign delegates? Please see the attached document.",capability limitation,,UNI EAH41 - need to assign delegates.  See attached.,Solved Offline,
What is the approval status for the expense associated with uni hm2796?,asking for individual status,,"Approval workflow for report key 239310

Initial Reviewer
Financial Approver
SBO Approval",Indirect Answer,
"Can you provide the payment status for UNI MDB3 regarding the MDB Expenses for the SSWR Conference totaling $11,910.08?",asking for individual status,,Report reviewed with user.,Indirect Answer,
What is the status for the expense under uni als2423 with Report Key: 214772?,asking for individual status,,"Expense    Report Key : 214772
Pending submission",Valid,
I am having issues accessing Concur.,in-scope,,Will speak with manager to see if access to Concur is needed. If so will need to complete a FSSA application,Solved Offline,
Can you provide insights on the Concur report?,in-scope,,resolved,Solved Offline,
"I'm receiving an error message that I need to supply a fare comparison, but I cannot find where to add it in the report. I've uploaded it to the receipts and segregated the expenses, but the error message persists. What should I do?",in-scope,,"You are receiving a warning sign for the itemize portion of the airfare, on the comments you can provide a brief explanation and submit. The warning sign won't go away but you should still be able to submit report. Thank you",Valid,
I'm unable to reconcile my Corporate Card. What should I do?,asking for individual status,,Sorry for the late response. i no longer see pending transaction in your account.,Valid,
My supervisor is on maternity leave and I can't edit the initial reviewer. How can I resolve this?,in-scope,,You should recall the report and then resubmit the report and assign the correct Initial Reviewer.,Valid,
"Can a short-term casual access Concur? If so, how can that be arranged?",in-scope,,"We got it resolved—thanks,Karen

You can close this ticket--Karen",Solved Offline,
The UNI PH2535 Report TFJRZN was returned due to an incorrect approver selected. What should I do to fix this?,in-scope,,User will correct dept id.,Valid,
"I have access to review and approve vouchers in ARC as well as in CONCUR, but I can only pull reports I've already approved in CONCUR. How can I access reports approved by the former approver, Chris Gu, using the report key id when I haven't approved them myself?",in-scope,,"Hi Christian,
I believe there can only be one Report Manager assign to each level 6 department code. Please check if you're the one that's assigned to the department you wish to have reporting to. see page 5 of attached PDF.

Let me know if you have other questions. Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",Valid,
