question,out-of-scope,question_note,human_answer,invalid_human_answer,answer_note
I have a question about declaring a missing receipt as I'm not sure how to proceed with that.,in scope,,Receipt will need to be removed in order to add missing receipt declaration. Reopen ticket or give us a call if any questions. Thank you,,
What is the process for submitting a report in Concur?,in scope,,Please reopen ticket or give us a call if any additional questions.,,
Can we purchase a flight for a non-Columbia guest using any other booking platform instead of Concur with our corporate card?,in scope,,All bookings must be done using Concur. Please reopen ticket or submit new one for any additional questions. Thank you,,
I need help with the expense report for an employee who travelled to Rome. Can someone guide me on this?,in scope,,All expense reimbursements for active employees is processed thorough concur,,
"I accidentally saved a middle name 'Jane' to my profile in Concur while I was trying to assist a colleague. Can you please help me remove it, as I do not have a middle name?",outside action required,,"Hi Jessica,


I've cleared the middle name field.


Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",,
Could I get guidance on how to book travel for a guest? What are the steps I need to follow?,in scope,,Take a look at the how to videos on the Columbia Travel & Expense website for assistance on any bookings. Reopen ticket or give us a call if any questions. Thank you,,
"I am trying to access Concur to submit my travel expense report, but it’s not recognizing my UNI. Can you tell me why this might be happening?",asking for individual status/ capability limitation,,"Retirees do not get access to concur
Create an outside party vendor profile and process reimbursement through concur",,
Can you please share the steps on how I can change a student's CNR address in Concur for a reimbursement? Thank you.,asking for individual status/ capability limitation,,"Please use her outside party profile 0000237941, her CNR is not active. Any questions reopen ticket or submit a new one.
Thank you",,
Why isn’t GT006525 showing up in Concur?,asking for individual status/ capability limitation,,Dept will reach out to DA project can not be entered. Reopen ticket or give us a call if any questions. Thank you,,
"How can I set up an Approver Delegate in my profile settings? I found a job aid that might help, but I need clarification about the process.",in scope,,"Please see pg. 3 of this job aid for a description of the Approver Delegate and how to set if up in your profile settings:
https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Profile_Delegates.pdf",,
"I noticed that someone in our department submitted a Concur report where some meals were labeled incorrectly according to the receipts. For instance, a meal at 10:40 PM was marked as Breakfast. I returned the report for correction, but the employee mentioned that this practice has been accepted before. Is it necessary for the meal type to match the receipt's time stamp? Thank you.",asking for individual status/ capability limitation,,Thank you! Reopen or submit new ticket if any questions.,,
"My Concur report is pending approval, can you provide any updates?",asking for individual status/ capability limitation,,Department will reach out to approver. Reopen if any questions or give us a call back. Thank you,,
I am having trouble submitting my Concur report; it’s just not allowing me to do so. Can you help?,asking for individual status/ capability limitation,,"As we have not heard back from you, we will be closing this Incident. If you still need assistance with this issue, please re-open this Incident or open a new Incident. Thank you. ",,
"Regarding UNI: ey2126, Sophia moved the flight upgrade expense to the airfare type and will be itemizing it. Can you confirm if this is the correct process?",asking for individual status/ capability limitation,,"Sophia has moved the expense to the ""airfare"" expense type and will itemize it, putting the entire amount into airfare segregated.",,
"Hello, I’m trying to reimburse Barthelemy Bikoi (uni#bb3108) in Concur, but his name isn’t found. I also tried entering CNR0133643 but received a message saying it wasn’t found. Could you assist me with this issue? Thank you.",asking for individual status/ capability limitation,,Thank you.  Please reopen ticket or submit new one if any questions.,,
"I have two questions about the T&E Card: First, can I see in Concur the posting date for charges? Where would it appear? Second, do all charges have to be reconciled by the same date as the PCard? If the Initial Reviewer is away, can I submit a Concur Report and have the approvals a few days after the deadline? Thank you.",in scope,,Provided Global Access website and Corporate Card policy.,,
"I received approval for Concur access, but when I try to log in through the Columbia Travel and Expense Portal, I get an error after the DUO authentication that tells me something went wrong. What should I do?",asking for individual status/ capability limitation,,"This appears to be an issue with DUO, please contact CUIT at 212-854-1919. Thank you. ",,
How do I go about booking a hotel?,in scope,,Department will explain to faculty hotel booking using Concur/Corp card,,
"I am unsure how to submit an expense for a flight upgrade. Another organization is covering the cost for the economy flight, and I will only pay for the upgrade. How do I ensure that it is itemized in Concur and meets the documentation requirements?",in scope,,Submit the upgrade as an expense in Concur - it will need to be itemized to put the upgrade amount into Airfare-segregated. Provide receipts and an explanation for the situation.,,
"I received an email regarding some transactions involving two flights and two agent fees, but I'm uncertain what I'm required to do. I've uploaded the invoices for the flights but lack documentation for the agent fees. Can someone assist me with this?",in scope,,move all posted charges to a report page and complete the expense report once your trip is completed,,
"Could someone check Report Key 297496 entered by ca176@cumc? I need to confirm if she can change the expense type from 'miscellaneous' to 'Hotel and Lodging' and how to document hotel stays accurately, as there are multiple guests involved, each with different lengths of stay. Also, are these paid by a corporate card? Please help me clarify these points before I ask her to make changes.",asking for individual status/ capability limitation,,Please have user enter expense type hotel/lodging and itemize,,
Can you explain the Concur approval roles associated with CU_SEC_CNR_RTE_CNTRL_BY_DEPT and others listed in my message?,asking for individual status/ capability limitation,,"Myrna,
Please try the following ARC Queries:

CU_SEC_CNR_RTE_CNTRL_BY_DEPT
For: Concur Approval Roles by Dept_

CU_SEC_ROLES_BY_OPRID 
For: Roles by Users

 CU_SEC_ROUTE_CNTL_DEPT
For: Route Control by Dept

CU_SEC_ROUTE_CNTL_OPRID 
For:  Route Control by Users

CU_CNR_ROLES_BY_UNI 
For : User Roles

Thanks,
Judy",,
What is the process for accessing the list of Concur approvers for department code 1611103?,asking for individual status/ capability limitation,,Myrna will use the CU_SEC_CNR_RTE_CNTRL_BY_DEPT query.,,
I need guidance on how to reconcile a charge of $273.17 on my corporate card related to a hotel stay for a department guest who isn't being reimbursed. It's being classified incorrectly as Cash / Personal Card expense in CONCUR. How can I address this?,in scope,,"Hi Yasmin,
The expense is just an ""E-receipt"", its not the actually credit card charge. Expense reports should not contain expense source ""E-Receipt"". please wait for the real charge to come in, feel free to remove the ""E-Receipt"" from your account.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",,
Can you provide information on generating a Concur report for tc2315? What steps should I follow?,asking for individual status/ capability limitation,,Expense report is pending Enrique Alvira's approval,,
"What are the best practices for paying for guests' travel expenses in Concur, especially when it comes to airfare booking and reimbursements?",in scope,,Best practice is to have a Travel Arranger book the airfare on behalf of the guest through Concur/World Travel. For expenses that can't be booked through Concur - reimbursement to the traveler.,,
"I am looking to submit a report to CISE (4167102) and need to know the correct codes for school, division, sub-division, and admin department to choose the appropriate reviewer. Can you assist me with this?",asking for individual status/ capability limitation,,"In order to select 4167102 as the Admin Dept the following need to be selected:
School: A&S Core - Interdisciplinary (410000X)
Division: A&S Science Laboratories (41SL00X)
Sub-Division: A&S CISE (416700X) ",,
"I'm trying to submit a reimbursement for Mark Blenner (Vendor ID 0000269548), but his name and vendor ID are not appearing in Concur. Can you help me with this?",asking for individual status/ capability limitation,,"Sarah ,
On the invitation you sent to Mark , under Description of Goods and Services you have entered services to department that's what determines the vendor classification . For the future if you are inviting a vendor for reimbursement only you should enter the description of services as Expense reimbursement
You can send the following instruction to Mark to submit an update request on his profile

1. Log into PaymentWorks at https://www.paymentworks.com/accounts/login/

2. Click the link to ""View/Edit Form"" for Columbia

3. You will be taken into the form. Go to the Additional Information tab and make the following changes:

1. Under ""1099 Tax Information for individuals"", please select None of these apply.
2. Under ""Vendor Classification"", please select Other Payment Types.
3. Under ""As a US Individual-What are you receiving Payment for?"", please select Reimbursement for business expenses.

4. Please review all fields to ensure info is accurate and click the ""Submit"" button at the bottom of the Additional Information tab to submit the form.
Thanks
",,
"I haven't been able to log into Concur for several days. It says: Sign In. Sorry, something went wrong. We encountered an error processing my request. If the issue persists, who should I contact for further help?",asking for individual status/ capability limitation,,"Dear Robert,
Concur access is not given to Adjunct Professors and I see that your position has a termination date of 6/1/24
Your reimbursement should be processed by your departments Finance Office
Thanks",,
I keep getting a 'sorry something went wrong' error when trying to log into Concur. What can I do?,asking for individual status/ capability limitation,,"Only Columbia employees have default access to login to Concur. If you are not a Columbia employee there are two options to reimburse you:
1. The Columbia department can enter the reimbursement for you as a Non-Profile Payee in Concur or
2. You can request access to login to Concur as an affiliate. This job aid has the instructions on how to do this: https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Travel%20and%20Expense/Job_Aid_Concur_Affiliates_FSSA.pdf

For either of these options you MUST first be set up as an Outside Party vendor through the PaymentWorks system. You should discuss with your department which option would be more appropriate in your situation. ",,
I'm unable to log into Concur because I keep getting an error message. Could you please advise me on what to do?,in scope,," If you continue to need assistance with this issue, please reopen this Incident or open a new Incident.",,
I need to cancel travel that I booked through Concur. Could someone please assist with this?,in scope,,"Please call WTI to cancel the travel.

The Visitors & Personal travel portal is here: https://www.worldtravelinc.com/columbia.visitors.portal",,
I need help adding Wendy Morrison (UNI: wam2133) as a vendor in Concur for the student’s travel reimbursement. Can you assist me with this?,asking for individual status/ capability limitation,,"Hi Naoko,
Wendy's account is still active. Please have her create and submit her own report.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127 ",,
I'm seeking clarification on the reimbursement policy for lodging paid in advance of travel. Can someone help me understand how this works?,in scope,,"Here is the policy (https://universitypolicies.columbia.edu/content/travel-expense-policy):

""Advance Payments for Hotel Bookings

Any payments for hotels/rentals made in advance as a personal expenditure will not be reimbursed until after the trip end date.

If you need to book hotels/rentals in advance you should use the Corporate Card.  The trip will remain unreconciled until the trip end date.  The unreconciled charges should be added to an expense report but not submitted until the expense has occurred.  Adding the unreconciled charges to the expense report will ensure no monthly reminders are sent from the Card Services team about ""unreconciled charges""

If individuals do not want to be out of pocket they can request a Travel Cash Advance.""

The cash advance would need to be reconciled after the trip end date.",,
"My Concur profile is inactive, and I cannot submit a report since my PAC status is terminated as of 6/1/24. What should I do?",in scope,,"Contact HR when he will be reactivated in PAC.  Once reactivated in PAC, this will activate Concur profile and he will be able to log in to Concur to submit report.",,
I'm inquiring about my expense report that I submitted which has been pending SBO since 7/15 (Report #: 4AICF4). Can I get an update on this?,asking for individual status/ capability limitation,,Reimbursement sent for payment. Any questions please reopen or submit a new ticket. Thank you,,
I need to reinstate my Concur affiliate access. Can you guide me on the steps to take after submitting the Reinstate ARC/FinSys Access Application?,in scope,,"First you need to submit a Reinstate ARC/FinSys Access Application in Service Now. Please follow these directions:

1. Go to columbia.service-now.com and login with UNI and password
2. Click on ""Catalog"" 
3. Click on ""Finance""
4. Click on ""Show More"" at the bottom of the page
5. Click on ""Reinstate ARC/FinSys Access""
The application will need to be approved by your manager and DAF. It will then come to Central Finance and CUIT for processing. You will be sent an email when the application is completed.
At that point your DAF will need to open an incident to extend your Concur access and reference the RITM or REQ number for your Reinstate application.",,
Can you please assign Susanne Marrone Reda (ss819) as my Level 1 approver and change my level (np2173) to Initial Reviewer?,asking for individual status/ capability limitation,,"1. In order to become an Initial Reviewer you would need to apply for this role in the Financial Systems Security Application in ServiceNow
2. Your DAF can change who the Level 1 approver is directly. Are you at CUMC? If so your DAF for Concur issues is rm2698, Raquel Marin. ",,
"Dr. Wei Gu set me up as his delegate, but he did not check off any of the boxes to grant me the access. What should I do?",asking for individual status/ capability limitation,,Dr. Gu set Russ up as his delegate but did not check off any of the checkmarks to grant the access.,,
What is the Vendor ID for vendor ID - 0000267323?,asking for individual status/ capability limitation,,THis is a foreign vendor and the payment method is WIRE. Concur cannot process wire payments so please submit this expense as a voucher.,,
I need to know who is the DA for 7571412 (Fran Brogan or Moshe Kelsen) and how do they request for student employees to be opted into Concur since I haven’t received any response regarding my follow-up question for INC2657897?,asking for individual status/ capability limitation,,"Shea,
You can reach out to either of the two below
Ms Jashira Rodriguez 7571412 Irving CompCancer Ctr Core HIC Core Clinical Res Mgt Finance Manager jr3896@cumc.columbia.edu 212/851-4659
Ms Marina Greenberg 7571412 Irving CompCancer Ctr Core HIC Core Clinical Res Mgt Finance Manager mg4426@cumc.columbia.edu
I'm sure they know how to opt in student employees for concur access, if not job is also attached
Thanks",,
"I am unable to access my Concur Profile because my appointment ends on August 15, 2024. Can you help me with this?",invalid,,"temporally Concur access was reset. email me directly if more time is needed.
Kin ",,
"Kenia De Los Santos (KD10) submitted Concur Report Key 297922 for lab meeting food and entered that there were 9 attendees, but she listed their names in the 'Comments' section instead of the 'Attendees' section. Is that acceptable? Thank you!",asking for individual status/ capability limitation,,"It is preferred that they enter the names of the nine  attendees in the  ""Attendees"" section. ",,
Can you advise me why automated emails are being sent to Bernice (br2005)? Thank you!,invalid,,"Hi Yesenia,
I can confirm that all 3 departments (6071102, 6071106,6071201) are now setup correctly in Concur workflow, but unfortunately i cannot locate the email trigger that's sending the report to Bernice. 

I can only confirm that the 7 reports on the spreadsheet has been reconciled and that the report can be ignore.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",,
"I'm trying to find Vendor ID # 0000269522 in Concur to submit a reimbursement, but it's not showing up. Can you help? Thank you!",asking for individual status/ capability limitation,,"The reason vendor 0000269522 doesn't appear for you in Concur is that the vendor's default payment method is wire and wires can't be processed through Concur. Instead please enter the reimbursement in ARC as a voucher, and make sure to attach the Wire Request form as one of the supporting documents. ",,
I cannot log into Concur because I can't find a vendor profile for this person’s name. I don’t have a PAC profile since I am a resident at the Medical Center. What should I do?,invalid,,"Only Columbia employees have default access to login to Concur. There are two options to reimburse you:
1. The Columbia department can enter the reimbursement for you as a Non-Profile Payee in Concur or
 2. You can request access to login to Concur as an affiliate. This job aid has the instructions on how to do this: https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Travel%20and%20Expense/Job_Aid_Concur_Affiliates_FSSA.pdf
 For either of these options you MUST first be set up as an Outside Party vendor through the PaymentWorks system. You should discuss with your department which option would be more appropriate in your situation.",,
"I sent an expense report to the initial reviewer (kc3452), they approved it, but it’s not routing properly. Can you help me with this?",asking for individual status/ capability limitation,,"Expense report was approved at 10:26 by caller. It is waiting AP review.
",,
"I have an expense report labeled 'Ringham $1,631.03' under UNI ad3270. The package deal included meals, events, and lodging, but I don't have an itemized receipt. Can you help me figure out how to itemize this amount by dividing it by the number of nights? The conference fee was paid separately, so it shouldn't be included in the itemization.",asking for individual status/ capability limitation,,Carol will have the user divide the total amount by the number of nights and itemize it that way (conference fee was paid for separately so shouldn't be in the itemization). Concur Admin team did not have other suggestions based on the prior incident.,,
"I need to use the 'other (comment required)' option to enter a guest's name into the Comment/Justification field for TC Guest Housing, which is not on the lodging list. Can you confirm that I should proceed with this?",in scope,,"John will use the ""other (comment required)"" option and enter the name into the Comment/Justification field.",,
"I'm trying to enter a new chartstring to pay for another individual's travel for a conference (RK9WV1), but the initial reviewers aren't familiar with the person traveling, who is in Zuckerman. The department trying to pay is the ADR Kwong lab (in P&S), and initial reviewers are declining to approve. How can I facilitate this process so Wen's department approvers are included on this report?",asking for individual status/ capability limitation,,Updated department and school on header.,,
"I am inquiring about the status of the expense report for uni kc3452, with report key 295372. Could you provide any updates?",asking for individual status/ capability limitation,,Have payee recall and resubmit the report,,
"Hello, two new hires jm5947 and ss7370 are encountering an error when trying to log into Concur. Can you assist them? Thank you!",asking for individual status/ capability limitation,,Duplicate of  INC 2658702.,,
I found that there is no option to 'Book for a Guest' in Concur. What steps should I take to submit a Financial Systems Security Application to apply for the Travel Arranger role instead?,in scope,,Submit a Financial Systems Security Application to apply for the Travel Arranger role.,,
I need assistance with uni vl2553. Could you provide guidance on what I should do?,asking for individual status/ capability limitation,,Department will submit a request for concur temp access,,
I am looking to select the 'CU Non-Travel Expense Advance' Request Type for a cash advance that is not related to travel. Can you confirm if this is the right approach?,in scope,,"Select the ""CU Non-Travel Expense Advance"" Request Type.",,
"I'm reaching out because I'm having trouble with Concur. The page seems different, and I'm struggling to itemize expense reports. I also can't add attendees to lunch meetings or include tax and tips from receipts. Is there an issue with the system?",invalid,,No error with concur,,
Could you please provide the reimbursement CNR number for Vasileious Pililis with EID: 10293608?,asking for individual status/ capability limitation,,"CNR number for Vasileious Pililis EID: 10293608

CNR0153095",,
I'm reaching out for help because Arisa Fernandez is having issues saving a report in Concur for Dr. Justin Golub. Can you please advise?,asking for individual status/ capability limitation,,"Catherine,
It looks like Arisa Fernandez completed this report under her own profile , she has not signed in as a delegate of Drustin Golub
Please delete this and sign is as a delegate before completing the report. I don't see any expense under Dr.ustin Golub 's profile
Thanks",,
I need assistance with accessing Concur for UNI MKC2175.,asking for individual status/ capability limitation,,Directed to DA to have student opted in,,
I need help regarding Concur TT3027 5610104.,asking for individual status/ capability limitation,,"We have not heard back from you regarding the additional information we need to assist you with your Service Now Incident. Because several days have passed since we requested additional information, the Service Center has marked the incident as resolved. If you do not feel this issue was resolved,  please feel free to re-open this incident within 3 days. Please submit a new incident if the 3- day window has passed. ",,
How do I book a hotel using a corporate card?,in scope,,Usage of a corporate card for lodging is allowable expense,,
"As a travel arranger in Concur, I'm wondering if I can buy train tickets for a faculty member's staff and some non-CU research affiliates using 'Buying for a Guest' or World Travel? Also, what's the best way to register the students and outsiders for a conference using the departmental P card?",in scope,,"Yes you can use the ""book for a guest"" option or call WTI to book and pay for the guest and student travel. If the attendees are Columbia employees they can book their own travel through Concur/WTI or set you up as their delegate so you can book on their behalf (you can also use the ""book for a guest"" option for employees but it is preferable to book as a delegate for them instead).

The p-card can be used to pay for conference registrations. ",,
"I’m a student, Claudia Aiello, and I haven't received my reimbursement payment by direct deposit or check, even though it shows as confirmed paid back in June. Can someone please check on it? The report number is 6HGR06, and the amount is $500.39.",asking for individual status/ capability limitation,,"Deborah,
You should submit your request through the service catalog
Follow the steps below

https://columbia.service-now.com/cu?id=sc_home_cu
Service Catalog < Finance < Accounts Payable Stop Payment
Complete & submit
Thanks",,
"I'm reaching out for a student, Coco Huang (KH3137), who is unable to access Concur. Could you clarify why that might be? Is it related to her being an undergraduate student?",asking for individual status/ capability limitation,,"Students do not get automatic access to concur. If department decides to give access ,then a service incident should be submitted by the DA/SBO which contains the uni of the student and the desired access type",,
"I need guidance on how to itemize an expense report for a student who attended a conference. The caller bought a package deal that included the conference fee, hotel, and meals but was asked to itemize the costs. How can I do that without a breakdown?",in scope,,"Every attempt should be made to obtain an itemized receipt from the corresponding vendor(s), as it needs to be provided, in order for the Concur report to mirror the breakdown of the corresponding receipt(s).",,
Can I enter two separate transactions in Concur for a flight purchase and an upgrade to business class? How should I itemize the upgrade and add comments for both transactions?,in scope,,Enter as two separate transactions in Concur (different dates of purchase and receipts). Itemize the entire business class upgrade into Airfare- Segregated. Enter comments in both the coach expense and upgrade expense explaining the situation.,,
"I'm having trouble submitting a cash advance reconciliation report in Concur (report key 281822). It shows an error message saying that the trip has not concluded, but it actually ended on 5/26/24. The faculty member is Konstantina Zanou, UNI KZ2269. Can you help?",asking for individual status/ capability limitation,,"Cleared error by clicking the ""Submit"" button.",,
"I have a new resident, Brandon Litvak (UNI bl3076), in PAC who is encountering an error while trying to log into Concur. I've attached the error message. Can you please help me figure out how to fix this? Thank you!",asking for individual status/ capability limitation,,User is now able to log in to concur with log on ID bl3076@columbia.edu,,
"One of my clinical neurophysiology fellows, Maya Gabel, is having trouble logging into Concur to submit her reimbursement requests. She keeps getting a notification that her login information is incorrect, even though she has successfully logged into other Columbia systems using her UNI (mg4163). Could you please advise on what she should do next?",asking for individual status/ capability limitation,,"Maya,
In order to access Concur your department is going to have to send you an invitation to enroll as an affiliate in Payment Work so they can submit expense reimbursements for you.

Please discuss this with the DA in your department.
-John
",,
Could you clarify whether I should use my Corporate Card or a personal credit card to make hotel reservations according to the policy?,in scope,,See Corporate Card policy - https://universitypolicies.columbia.edu/content/travel-and-expense-corporate-card-policy,,
I need assistance with Concur travel access. Can you help me?,in scope,,Directed to DA to be opted in for concur access,,
Can someone provide information or assistance regarding Columbia Concur?,in scope,,"Must be a Columbia employee (active in PAC, the HR system) in order to be able to login to Concur. Provided other options for reimbursement if this is not the case.",,
How do I get access to Concur so that I can enter my own reimbursements?,in scope,,"This is a duplicate ticket to one that was already resolved.

INC2656877",,
Can you guide me on how to gain access to Concur to submit my reimbursements?,asking for individual status/ capability limitation,,"Students don't get default Concur access. Since you have an active Concur ID, here are the options: 
1. Have your department submit the expenses on your behalf. 
2. Request that your DAF opt you in. Her info is: Rebecca Hirade  rst1@columbia.edu
Thanks. ",,
I have a question about Concur approvals for my department. Can you provide assistance?,asking for individual status/ capability limitation,,"Recapping our call: Kavanaugh,Kristine is financial approver for levels 1-4, no other roles are assigned to anyone else. See attached Concur Approval Roles by Department query. ",,
"My new full-time GSAPP faculty member, Amelyn Ng (arn2135), is unable to log into Concur using her Columbia email/UNI. Could you please advise me on how to help her?",asking for individual status/ capability limitation,,"Amelyn Ng doesn't have an active PAC profile yet. May be her employment document has not been fully approved. Once active PAC profile is established she will have access to Concur
",,
I need help for a work study student (arr2245) with ARC access. Can someone assist with this issue?,asking for individual status/ capability limitation,,DA can opt in student employees for concur access,,
"Good afternoon, can you advise if it is possible for me to run reports in the Concur Reporting Module? I need to check the number of approved reports for a certain period and I am looking for an efficient way to do this. There is a Job Aid about the Reporting tool in Concur, but it seems that my profile doesn't have it available. Could you please advise me on how to get the information I need from Concur? Thank you.",in scope,,Concur Reporting Manager role can be requested by submitting FSSA,,
I received the attached message and I am no longer a GSAPP employee. I have not submitted a request on behalf of this employee. Can you please remove me as a delegate for the GSAPP employees? I have included the list of employees in this request as well. Thank you.,in scope,,"You can remove yourself from being a delegate. Please see page 4 of the following job aid: https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Profile_Delegates.pdf
in the section Viewing Colleagues for Whom You Are a Delegate and Permissions.",,
"Hello, can you let me know how I can add a hotel that is not listed to my Concur travel expense?",in scope,,"Select the option ""OTHER""  when hotel is not listed in concur",,
I have an issue where Outside Party approved vendor 0000269455 is not coming up in Concur as an NPP Outside party vendor. Can someone assist with this?,invald,,"Hi Molly,
Please see Tier2's suggestion:
The department can reach out to the vendor to update their PW profile to change the default payment or enter a voucher in ARC to pay the vendor.

Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",,
"I need assistance with the review of an expense report: UNI NEV2001 NEV ASOF-HERA Expenses amounting to $1,033.35 and Ground Transportation at $20.60. I need to segregate these expenses since it was noted that a family member traveled with her.",invalid,,Itemized item and segregate the amount for the child.,,
There is a hotel lodging itemization error that I need help with. Can you assist?,asking for individual status/ capability limitation,,"We have not heard back from you regarding any additional questions you may have regarding this Service Now Incident. The Finance Service Center has marked it as resolved. If you do not feel it was resolved, please respond to this incident within 3 days to reopen. Thank you.",,
"Hello, I am having an issue with processing an expense reimbursement for a speaker, Brian Baer, who participated in a conference this past spring. His vendor ID is 0000265607, but when I enter his name or vendor ID number in Concur, I receive an error message. Can you please advise? Thank you, Alexa.",asking for individual status/ capability limitation,,"Alexandra,
This person has a classification of ""Supplier"" . You can only process a reimbursement in Concur if the vendor's classification is ""Outside Party""
For vendors with supplier classification you need to process the reimbursement through ARC on a check request and make sure to uncheck the withholding applicable box on the withholding information page
Thanks",,
I paid via direct deposit on 06/25/2024. Lucia will check her bank account for the payment. The report key is: 258000. Can you confirm if this was processed?,asking for individual status/ capability limitation,,Paid via direct deposit on 06/25/2024. Lucia will check her bank account.,,
Is the taxi expense that I incurred around 1PM reimbursable?,in scope,,Any expense related to a Columbia approved business trip is reimbursable,,
"I need to start typing ""other"" into the vendor name field in Concur and select ""other (comment required)."" Then I can enter the name of the hotel below in the Comment/Justification box. Is that correct?",in scope,,"Start typing ""other"" into the vendor name field and then select ""other (comment required."" Enter the name of the hotel below in the Comment/Justification box.",,
Can I reimburse for a conference fee before the trip? I need to enter it as a travel expense.,in scope,,This can be reimbursed in advance of the trip. Enter as a Travel expense.,,
I am encountering a Concur error indicating that segregated expenses cannot be allocated to Sponsored Projects. What should I do?,in scope,,"Please click on report details, then report header and update the chartstring there. ",,
"I am trying to find a hotel in Concur, but it’s not showing up. Can I use the 'other (Comment required)' option and specify Montreal, Quebec for the location?",in scope,,"Using the ""other (Comment required)"" option, use Montreal, Quebec for the location.",,
"Regarding Expense Report 277140 and Voucher 06368873, I noticed that the amounts on the report and the voucher are the same, and nothing was withheld from this payment. What does this mean?",asking for individual status/ capability limitation,,"Amount on the report and the voucher are the same, nothing was withheld from this payment.",,
